Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
9/12/01,74,56,0,0,0
9/13/01,67,53,0,0,0
9/14/01,57,50,0.04,0,0
9/15/01,64,52,0,0,0
9/16/01,61,57,0.03,0,0
9/17/01,64,57,0,0,0
9/18/01,64,58,T,0,0
9/19/01,67,55,0.15,0,0
9/20/01,67,51,0.31,0,0
9/21/01,70,53,0,0,0
9/22/01,58,49,1.63,0,0
9/23/01,55,41,T,0,0
9/24/01,57,36,0,0,0
9/25/01,61,36,0,0,0
9/26/01,68,41,0,0,0
9/27/01,71,44,0,0,0
9/28/01,67,42,0,0,0
9/29/01,66,46,0,0,0
9/30/01,76,47,0,0,0
10/1/01,71,51,0,0,0
10/2/01,86,48,T,0,0
10/3/01,60,52,0,0,0
10/4/01,57,42,0,0,0
10/5/01,51,35,T,T,0
10/6/01,46,29,0,0,0
10/7/01,56,29,0,0,0
10/8/01,65,44,0.01,0,0
10/9/01,61,49,0.04,0,0
10/10/01,64,46,0.4,0,0
10/11/01,66,42,0,0,0
10/12/01,66,46,0,0,0
10/13/01,54,42,0.47,0,0
10/14/01,52,42,0.02,0,0
10/15/01,49,39,0.07,0,0
10/16/01,49,33,T,0,0
10/17/01,56,31,0,0,0
10/18/01,55,41,0.03,0,0
10/19/01,62,36,0,0,0
10/20/01,63,37,0,0,0
10/21/01,60,38,0,0,0
10/22/01,60,37,0,0,0
10/23/01,62,51,0.13,0,0
10/24/01,57,32,0.08,0.1,T
10/25/01,39,33,0.03,T,0
10/26/01,39,34,0,0,0
10/27/01,44,30,0,0,0
10/28/01,65,36,0,0,0
10/29/01,50,41,0,0,0
10/30/01,49,42,T,0,0
10/31/01,61,49,0,0,0
11/1/01,68,49,T,0,0
11/2/01,59,41,0,0,0
11/3/01,67,37,0,0,0
11/4/01,59,37,0,0,0
11/5/01,71,39,0,0,0
11/6/01,68,51,0,0,0
11/7/01,66,45,0.01,0,0
11/8/01,47,34,0,0,0
11/9/01,56,34,0,0,0
11/10/01,56,37,0,0,0
11/11/01,56,32,0,0,0
11/12/01,65,36,0.2,0,0
11/13/01,61,50,T,0,0
11/14/01,64,52,0,0,0
11/15/01,64,44,0,0,0
11/16/01,65,40,0,0,0
11/17/01,68,48,0,0,0
11/18/01,60,38,0.11,0,0
11/19/01,41,30,0,0,0
11/20/01,48,25,0,0,0
11/21/01,60,33,0,0,0
11/22/01,55,36,0,0,0
11/23/01,54,40,0.63,0,0
11/24/01,54,43,1.06,0,0
11/25/01,43,32,0.01,0,0
11/26/01,35,30,0.48,5.9,T
11/27/01,34,30,0.19,3,8
11/28/01,33,30,0.07,0.5,7
11/29/01,34,28,0.01,T,8
11/30/01,35,32,T,T,6
12/1/01,32,25,T,T,4
12/2/01,46,26,0,0,4
12/3/01,47,27,T,0,2
12/4/01,49,42,0.01,0,1
12/5/01,63,36,0.16,0,T
12/6/01,44,27,0,0,0
12/7/01,34,24,0.01,0.6,0
12/8/01,33,19,0,0,T
12/9/01,46,20,0,0,T
12/10/01,41,29,0,0,0
12/11/01,47,29,0,0,0
12/12/01,40,28,T,0,0
12/13/01,28,22,T,T,0
12/14/01,32,25,0,0,0
12/15/01,46,30,0,0,0
12/16/01,45,33,0,0,0
12/17/01,43,29,0,0,0
12/18/01,41,26,0,0,0
12/19/01,38,22,0,0,0
12/20/01,38,18,0,0,0
12/21/01,35,20,0,0,0
12/22/01,40,20,0.41,3.9,0
12/23/01,26,9,0.1,2,6
12/24/01,19,8,0,0,6
12/25/01,16,7,T,0.3,5
12/26/01,21,8,0.05,0.6,6
12/27/01,23,14,T,T,5
12/28/01,16,7,T,0.5,5
12/29/01,12,4,T,T,5
12/30/01,15,6,T,0.1,5
12/31/01,15,1,T,T,4
1/1/02,15,8,T,0.1,4
1/2/02,15,1,0,0,2
1/3/02,26,3,0,0,2
1/4/02,30,19,T,0,2
1/5/02,35,25,0,0,2
1/6/02,32,8,T,0.4,2
1/7/02,29,4,0,0,2
1/8/02,45,28,0,0,2
1/9/02,49,34,0,0,1
1/10/02,38,30,0,0,T
1/11/02,43,28,0,0,T
1/12/02,39,26,0,0,0
1/13/02,36,24,0.19,3.8,0
1/14/02,30,27,0.12,1.3,5
1/15/02,28,19,T,T,4
1/16/02,22,14,0.03,0.5,4
1/17/02,20,8,T,T,4
1/18/02,12,-2,T,0.1,4
1/19/02,31,13,0.05,1.7,6
1/20/02,33,17,0,0,6
1/21/02,31,15,0,0,5
1/22/02,44,24,0,0,4
1/23/02,34,19,T,T,1
1/24/02,36,9,T,0,1
1/25/02,46,28,0,0,1
1/26/02,48,30,0,0,1
1/27/02,35,26,T,0,T
1/28/02,27,18,T,T,T
1/29/02,22,15,0.02,0.3,T
1/30/02,21,12,T,T,T
1/31/02,26,19,0.05,1.3,T
2/1/02,27,12,T,T,1
2/2/02,32,10,T,T,1
2/3/02,24,9,T,T,1
2/4/02,20,1,0,0,T
2/5/02,31,12,0,0,T
2/6/02,41,21,0,0,T
2/7/02,41,27,0,0,T
2/8/02,50,28,0,0,0
2/9/02,39,33,0.02,1,0
2/10/02,33,22,0,0,1
2/11/02,43,21,0,0,1
2/12/02,36,17,T,0,T
2/13/02,44,17,0,0,0
2/14/02,47,33,0,0,0
2/15/02,43,30,T,0,0
2/16/02,41,29,0,0,0
2/17/02,44,22,0,0,0
2/18/02,49,36,0.05,0,0
2/19/02,42,34,0.14,T,0
2/20/02,34,28,0.12,1.5,T
2/21/02,33,21,0.02,0.1,1
2/22/02,37,15,0,0,1
2/23/02,51,36,T,0,T
2/24/02,39,23,0.04,0.2,0
2/25/02,24,15,T,0.1,T
2/26/02,20,10,0.02,0.2,T
